URL:                     started=True
STATUS: 000 0 bytes 000 0 -
STDERR:
curl: (3) URL rejected: Malformed input to a URL function
PORTFOLIO HOLDINGS INFORMATION,,,,
AS OF 9/18/2026,,,,
,,,,
Fund Ticker, Fund Name, Security Ticker, Security Sedol, Security Description, Coupon, Maturity Date, Shares/Contracts, Exposure Value (Notional + G/L), Market Value
"ANEW","ProShares MSCI Transformational Changes ETF","DHER",,"DELIVERY HERO SE",,,2504,,104876.1,
"ANEW","ProShares MSCI Transformational Changes ETF","RMD",,"RESMED INC",,,429,,96520.71,
"ANEW","ProShares MSCI Transformational Changes ETF","MU",,"MICRON TECHNOLOGY INC",,,91,,92437.8,
"ANEW","ProShares MSCI Transformational Changes ETF","DGX",,"QUEST DIAGNOSTICS INC",,,324,,79849.8,
"ANEW","ProShares MSCI Transformational Changes ETF","WST",,"WEST PHARMACEUTICAL SERVICES",,,209,,75722.79,
"ANEW","ProShares MSCI Transformational Changes ETF","SXT",,"SENSIENT TECHNOLOGIES CORP",,,542,,70243.2,
"ANEW","ProShares MSCI Transformational Changes ETF","AMD",,"ADVANCED MICRO DEVICES",,,124,,69417.68,
"ANEW","ProShares MSCI Transformational Changes ETF","GH",,"GUARDANT HEALTH INC",,,352,,63141.76,
"ANEW","ProShares MSCI Transformational Changes ETF","ABVX",,"ABIVAX SA",,,558,,58331.23,
"ANEW","ProShares MSCI Transformational Changes ETF","V",,"VISA INC-CLASS A SHARES",,,155,,57084.95,
"ANEW","ProShares MSCI Transformational Changes ETF","SFM",,"SPROUTS FARMERS MARKET INC",,,764,,54083.56,
"ANEW","ProShares MSCI Transformational Changes ETF","TSLA",,"TESLA INC",,,127,,46262.29,
"ANEW","ProShares MSCI Transformational Changes ETF","MA",,"MASTERCARD INC - A",,,77,,43523.48,
"ANEW","ProShares MSCI Transformational Changes ETF","000660",,"SK HYNIX INC",,,29,,38961.8,
"ANEW","ProShares MSCI Transformational Changes ETF","SE",,"SEA LTD-ADR",,,352,,35830.08,
"ANEW","ProShares MSCI Transformational Changes ETF","CSCO",,"CISCO SYSTEMS INC",,,310,,33948.1,
"ANEW","ProShares MSCI Transformational Changes ETF","9684",,"SQUARE ENIX HOLDINGS CO LTD",,,1757,,33563.82,
"ANEW","ProShares MSCI Transformational Changes ETF","INTC",,"INTEL CORP",,,309,,33557.4,
"ANEW","ProShares MSCI Transformational Changes ETF","TEM",,"TEMPUS AI INC-CL A",,,419,,32614.96,
"ANEW","ProShares MSCI Transformational Changes ETF","9766",,"KONAMI GROUP CORP",,,239,,32107.1,
"ANEW","ProShares MSCI Transformational Changes ETF","3293",,"INTERNATIONAL GAMES SYSTEM C",,,1337,,30686.28,
"ANEW","ProShares MSCI Transformational Changes ETF","SNAP",,"SNAP INC - A",,,5537,,30619.61,
"ANEW","ProShares MSCI Transformational Changes ETF","PINS",,"PINTEREST INC- CLASS A",,,1631,,30336.6,
"ANEW","ProShares MSCI Transformational Changes ETF","REA",,"REA GROUP LTD",,,258,,28737.9,
"ANEW","ProShares MSCI Transformational Changes ETF","SMSN",,"SAMSUNG ELECTR-GDR REG S",,,6,,27816,
"ANEW","ProShares MSCI Transformational Changes ETF","HAS",,"HASBRO INC",,,316,,27672.12,
"ANEW","ProShares MSCI Transformational Changes ETF","MEDP",,"MEDPACE HOLDINGS INC",,,45,,27554.85,
"ANEW","ProShares MSCI Transformational Changes ETF","PANW",,"PALO ALTO NETWORKS INC",,,75,,27268.5,
"ANEW","ProShares MSCI Transformational Changes ETF","035720",,"KAKAO CORP",,,1114,,27040.01,
"ANEW","ProShares MSCI Transformational Changes ETF","TTWO",,"TAKE-TWO INTERACTIVE SOFTWRE",,,129,,26503.05,
"ANEW","ProShares MSCI Transformational Changes ETF","9618",,"JD.COM INC-CLASS A",,,1912,,25589.84,
"ANEW","ProShares MSCI Transformational Changes ETF","QIA",,"QIAGEN N.V.",,,553,,24400.29,
"ANEW","ProShares MSCI Transformational Changes ETF","HIMS",,"HIMS & HERS HEALTH INC",,,851,,23819.49,
"ANEW","ProShares MSCI Transformational Changes ETF","PLTR",,"PALANTIR TECHNOLOGIES INC-A",,,128,,22737.92,
"ANEW","ProShares MSCI Transformational Changes ETF","CRSP",,"CRISPR THERAPEUTICS AG",,,401,,22680.56,
"ANEW","ProShares MSCI Transformational Changes ETF","ORCL",,"ORACLE CORP",,,152,,22436.72,
"ANEW","ProShares MSCI Transformational Changes ETF","HSIC",,"HENRY SCHEIN INC",,,262,,22228.08,
"ANEW","ProShares MSCI Transformational Changes ETF","KRYS",,"KRYSTAL BIOTECH INC",,,65,,21883.55,
"ANEW","ProShares MSCI Transformational Changes ETF","CRWD",,"CROWDSTRIKE HOLDINGS INC - A",,,92,,21863.8,
"ANEW","ProShares MSCI Transformational Changes ETF","MDLN",,"MEDLINE INC-CL A",,,632,,19996.48,
"ANEW","ProShares MSCI Transformational Changes ETF","2454",,"MEDIATEK INC",,,133,,19722.31,
"ANEW","ProShares MSCI Transformational Changes ETF","MDGL",,"MADRIGAL PHARMACEUTICALS INC",,,37,,19666.24,
"ANEW","ProShares MSCI Transformational Changes ETF","ANET",,"ARISTA NETWORKS INC",,,98,,19540.22,
"ANEW","ProShares MSCI Transformational Changes ETF","IBM",,"INTL BUSINESS MACHINES CORP",,,85,,19511.75,
"ANEW","ProShares MSCI Transformational Changes ETF","1024",,"KUAISHOU TECHNOLOGY",,,4924,,19293.56,
"ANEW","ProShares MSCI Transformational Changes ETF","COGT",,"COGENT BIOSCIENCES INC",,,611,,19246.5,
"ANEW","ProShares MSCI Transformational Changes ETF","IRTC",,"IRHYTHM HOLDINGS INC",,,168,,18367.44,
"ANEW","ProShares MSCI Transformational Changes ETF","TFX",,"TELEFLEX INC",,,144,,17930.88,
"ANEW","ProShares MSCI Transformational Changes ETF","SNDK",,"SANDISK CORP",,,10,,17918.2,
"ANEW","ProShares MSCI Transformational Changes ETF","AMAT",,"APPLIED MATERIALS INC",,,40,,17782.8,
"ANEW","ProShares MSCI Transformational Changes ETF","GMED",,"GLOBUS MEDICAL INC - A",,,239,,17705.12,
"ANEW","ProShares MSCI Transformational Changes ETF","ARWR",,"ARROWHEAD PHARMACEUTICALS IN",,,261,,17351.28,
"ANEW","ProShares MSCI Transformational Changes ETF","RBRK",,"RUBRIK INC-A",,,150,,16006.5,
"ANEW","ProShares MSCI Transformational Changes ETF","NTAP",,"NETAPP INC",,,80,,15823.2,
"ANEW","ProShares MSCI Transformational Changes ETF","HOOD",,"ROBINHOOD MARKETS INC - A",,,130,,15576.6,
"ANEW","ProShares MSCI Transformational Changes ETF","NET",,"CLOUDFLARE INC - CLASS A",,,47,,15209.2,
"ANEW","ProShares MSCI Transformational Changes ETF","QCOM",,"QUALCOMM INC",,,85,,15106.2,
"ANEW","ProShares MSCI Transformational Changes ETF","WDAY",,"WORKDAY INC-CLASS A",,,75,,14540.25,
"ANEW","ProShares MSCI Transformational Changes ETF","CVLT",,"COMMVAULT SYSTEMS INC",,,95,,13731.3,
"ANEW","ProShares MSCI Transformational Changes ETF","WDC",,"WESTERN DIGITAL CORP",,,31,,13682.16,
"ANEW","ProShares MSCI Transformational Changes ETF","SMTC",,"SEMTECH CORP",,,72,,13320,
"ANEW","ProShares MSCI Transformational Changes ETF","2324",,"COMPAL ELECTRONICS",,,10997,,13052.72,
"ANEW","ProShares MSCI Transformational Changes ETF","DBX",,"DROPBOX INC-CLASS A",,,351,,12804.48,
"ANEW","ProShares MSCI Transformational Changes ETF","FDS",,"FACTSET RESEARCH SYSTEMS INC",,,44,,12488.52,
"ANEW","ProShares MSCI Transformational Changes ETF","BFH",,"BREAD FINANCIAL HOLDINGS INC",,,114,,12372.42,
"ANEW","ProShares MSCI Transformational Changes ETF","PCTY",,"PAYLOCITY HOLDING CORP",,,85,,12217.05,
"ANEW","ProShares MSCI Transformational Changes ETF","PYPL",,"PAYPAL HOLDINGS INC",,,220,,11530.2,
"ANEW","ProShares MSCI Transformational Changes ETF","GEN",,"GEN DIGITAL INC",,,397,,11516.97,
"ANEW","ProShares MSCI Transformational Changes ETF","NBIS",,"NEBIUS GROUP NV",,,49,,10953.46,
"ANEW","ProShares MSCI Transformational Changes ETF","FFIV",,"F5 INC",,,25,,10800.75,
"ANEW","ProShares MSCI Transformational Changes ETF","4704",,"TREND MICRO INC",,,251,,10584.18,
"ANEW","ProShares MSCI Transformational Changes ETF","PCOR",,"PROCORE TECHNOLOGIES INC",,,204,,10459.08,
"ANEW","ProShares MSCI Transformational Changes ETF","IRDM",,"IRIDIUM COMMUNICATIONS INC",,,222,,10382.94,
"ANEW","ProShares MSCI Transformational Changes ETF","MARA",,"MARA HOLDINGS INC",,,776,,10274.24,
"ANEW","ProShares MSCI Transformational Changes ETF","HUT",,"HUT 8 CORP",,,103,,10170.22,
"ANEW","ProShares MSCI Transformational Changes ETF","603296",,"HUAQIN CO LTD-A",,,840,,10077.94,
"ANEW","ProShares MSCI Transformational Changes ETF","SLAB",,"SILICON LABORATORIES INC",,,45,,9922.5,
"ANEW","ProShares MSCI Transformational Changes ETF","CGNX",,"COGNEX CORP",,,159,,9788.04,
"ANEW","ProShares MSCI Transformational Changes ETF","GSAT",,"GLOBALSTAR INC",,,118,,9775.12,
"ANEW","ProShares MSCI Transformational Changes ETF","6273",,"SMC CORP",,,23,,9733.87,
